Agent energy file
Z [A]       Energy [kcal/mol]
21.4221  41.2866  
21.8478  39.4387  
22.2735  37.3422  
22.6992  35.1573  
23.1249  33.012  
23.5506  30.997  
23.9763  29.1693  
24.402  27.5605  
24.8277  26.1847  
25.2534  25.0462  
25.6791  24.5877  
24.789  26.8834  
23.8989  30.4321  
23.0088  35.406  
22.1187  41.7116  
21.2287  48.3467  
20.3386  52.8715  
19.4485  53.406  
19.683  54.2731  
19.9959  48.6475  
19.3049  55.2658  
18.614  52.4611  
17.9231  47.7772  
17.2322  42.6373  
16.5413  37.9224  
15.8503  33.9631  
15.1594  30.777  
14.4685  28.262  
13.7776  26.2948  
13.0866  24.8143  
13.7404  26.5381  
14.3942  29.0745  
15.048  33.0017  
15.7018  39.5158  
16.3556  51.3356  
17.0095  75.5071  
17.6633  25.0294  
18.3171  26.208  
18.9709  27.6825  
19.6247  29.4555  
20.2785  31.7937  
20.9323  34.6066  
21.5861  36.8863  
22.2399  38.0209  
22.8937  37.7813  
23.6618  35.5805  
23.3506  34.6778  
23.0393  33.7916  
22.4493  32.4754  
22.1082  31.2946  
22.1441  30.5659  
22.3513  29.8772  
22.4337  29.3195  
22.2064  29.179  
21.6623  29.292  
20.953  29.2235  
20.3397  29.1652  
20.2201  29.9028  
20.7099  31.4585  
21.5171  32.3658  
22.0206  33.2013  
21.7177  35.1654  
21.4148  37.6091  
21.1118  40.7385  
20.8089  44.8408  
20.506  50.2974  
20.2031  57.557  
19.9492  67.8372  
19.1515  77.5568  
18.3538  77.708  
17.5561  68.2428  
16.7584  55.5397  
15.9607  44.5228  
15.163  36.4578  
14.3653  30.8829  
13.5676  27.0832  
12.7699  24.5074  
11.9722  22.4661  
12.4663  23.589  
12.9604  25.0267  
13.4546  26.8333  
13.9487  29.1124  
14.4428  32.2905  
14.9369  36.8385  
15.4311  43.3959  
15.9252  53.1343  
16.4193  68.085  
16.9135  91.7656  
17.4076  23.7831  
17.9017  24.5796  
18.3958  25.4381  
18.89  26.3559  
19.3841  27.3308  
19.8782  28.3713  
20.3724  30.3006  
20.8665  32.7027  
21.3606  35.5287  
21.8547  38.8703  
22.3489  42.7461  
22.843  47.2925  
23.6496  50.3671  
24.4562  49.5665  
25.2628  44.8982  
26.0694  38.3042  
26.876  31.8074  
27.6826  26.3855  
28.4892  22.1705  
29.2958  18.9143  
30.1024  16.5347  
30.909  14.5261  
30.3604  15.7819  
29.8118  17.4143  
29.2632  19.5245  
28.7146  21.9831  
28.166  25.1659  
27.6173  29.2895  
27.0687  34.7361  
26.5201  41.85  
25.9715  50.8346  
25.4229  61.3582  
24.8743  72.0036  
24.3257  80.1082  
23.7771  82.9415  
23.2285  79.8587  
22.6799  73.0581  
23.3467  65.1686  
24.0134  55.0987  
24.6802  45.5636  
25.347  37.6968  
26.0137  31.5859  
26.6805  26.9307  
27.3473  23.4339  
28.014  20.7004  
28.6808  18.303  
29.3476  16.5946  
28.4603  18.6208  
27.5731  20.9689  
26.6858  23.7198  
25.7985  27.3047  
24.9113  32.3577  
24.024  40.9129  
23.1368  59.4947  
22.2495  32.6543  
22.0777  33.5531  
22.9248  34.7983  
23.5858  35.2991  
22.8273  37.4993  
22.1196  38.2731  
21.4119  37.3306  
20.7042  34.9541  
19.9965  25.6032  
19.2889  29.5462  
18.5812  27.4074  
17.8735  25.5711  
17.1658  24.1961  
18.0095  26.7062  
18.8531  30.4058  
19.6968  36.1846  
20.5405  46.4819  
21.3841  62.7423  
22.2278  21.7551  
22.9924  21.6659  
23.5164  21.5997  
23.6889  21.8871  
23.4527  22.7017  
22.8006  23.5675  
22.1484  24.5494  
21.4962  25.6756  
20.844  27.0544  
20.102  27.8328  
19.8288  29.2834  
19.4503  30.9926  
19.3985  33.3343  
19.8431  36.0382  
20.0462  39.4617  
20.6187  42.8828  
21.1912  44.8736  
21.7637  44.9299  
22.3362  43.0968  
22.9087  39.9416  
23.4812  36.202  
24.0537  32.4575  
24.6262  29.0195  
25.1987  25.9876  
25.7712  23.3487  
26.3437  21.0504  
26.9162  19.0252  
27.4887  17.2459  
28.0612  15.7782  
28.6337  14.7716  
27.8226  16.4897  
27.0116  18.4433  
26.2005  20.8251  
25.3895  24.3133  
24.5784  29.9851  
23.7673  40.2133  
22.9563  60.5899  
22.1452  24.0561  
21.6108  24.0226  
21.6638  24.8684  
22.3053  25.9523  
23.1347  25.8634  
23.4748  26.0684  
22.9988  26.9238  
22.5228  27.4996  
22.0227  27.5376  
21.937  27.8947  
22.3257  28.3644  
22.8101  28.2451  
22.8666  28.4474  
22.3965  28.7742  
21.8236  28.4872  
21.6059  28.398  
21.8402  28.6011  
22.2527  28.4284  
22.4024  28.332  
22.0681  28.6981  
21.416  28.8238  
20.821  28.6456  
20.5885  28.8604  
20.7732  29.438  
21.1106  29.811  
21.1752  30.4334  
20.7494  31.5109  
20.0929  32.0426  
19.8559  33.2835  
19.3026  34.1899  
19.196  35.5599  
19.7487  36.8896  
20.0273  38.2235  
20.5648  39.2438  
20.0736  40.8958  
19.6457  42.5058  
19.1629  43.6048  
19.9948  38.1005  
20.0091  45.2116  
20.0234  45.8718  
20.1021  46.2777  
19.945  46.5185  
19.788  46.9147  
19.0879  45.8973  
18.3877  42.7477  
17.6876  38.4484  
16.9875  33.8919  
16.2874  29.6408  
15.5872  25.951  
14.8871  22.8814  
14.187  20.4275  
13.4868  18.6136  
14.2569  20.2465  
15.027  22.3188  
15.7972  24.9035  
16.5673  28.0277  
17.3374  31.5522  
18.1075  34.9686  
18.8776  37.2749  
19.6477  37.2436  
20.357  34.9354  
20.1254  33.5601  
19.6044  31.9478  
19.0312  29.3629  
19.3874  27.7345  
19.9576  25.2149  
19.8504  23.5672  
19.2427  21.7383  
18.7628  19.6934  
18.6972  18.2048  
18.9686  16.9511  
19.3387  15.6115  
19.5765  14.3228  
19.5676  13.3142  
19.3165  12.5557  
18.8969  11.8968  
18.4003  11.2488  
17.9029  10.6114  
17.4512  10.0155  
17.0654  9.48196  
16.7469  9.01381  
16.4868  8.60397  
16.2711  8.24249  
16.0844  7.9206  
15.9113  7.63204  
15.7373  7.37304  
15.5496  7.14186  
15.3366  6.93823  
15.088  6.76302  
14.7945  6.63175  
14.4471  6.90376  
14.0556  7.17418  
13.629  7.43982  
13.1756  7.69986  
12.701  7.95592  
12.2081  8.21197  
11.6954  8.4746  
11.1568  8.75411  
10.5796  9.06086  
9.94291  9.42854  
9.21486  9.914  
8.34675  10.332  
7.47865  10.8535  
6.61054  11.5119  
5.74244  12.3518  
4.87433  13.4366  
4.00623  14.8609  
3.13812  16.7739  
2.27002  19.4259  
1.40192  23.2727  
0.533811  29.2386  
-0.334293  35.0033  
